-nan
-0
0
0
-0
0
-0
-6803.06
189467
286920
-33353.6
-522706
-883122
-982128
-826846
-489657
-55547.6
403120
834319
1.20559e+06
1.50019e+06
1.71274e+06
1.84547e+06
1.9053e+06
1.90173e+06
1.84538e+06
1.74701e+06
1.61695e+06
1.46472e+06
1.29884e+06
1.12674e+06
954795
788307
631597
488071
360306
250126
158690
86564
33799.6
0
0
0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
-0
