-1.2077e-21
-nan
-1.19817e-21
-nan
-1.18827e-21
-nan
-1.178e-21
-nan
-1.16738e-21
-nan
-1.1564e-21
-nan
-1.14508e-21
-nan
-1.1334e-21
-nan
-1.12138e-21
-nan
-1.10901e-21
-nan
-1.09631e-21
-nan
-1.08327e-21
-nan
-1.06991e-21
-nan
-1.05621e-21
-nan
-1.0422e-21
-nan
-1.02787e-21
-nan
-1.01322e-21
-nan
-9.9827e-22
-nan
-9.83012e-22
-nan
-9.67456e-22
-nan
-9.51604e-22
-nan
-9.35463e-22
-nan
-9.19037e-22
-nan
-9.02331e-22
-nan
-8.8535e-22
-nan
-8.68099e-22
-nan
-8.50584e-22
-nan
-8.32809e-22
-nan
-8.14781e-22
-nan
-7.96505e-22
-nan
-7.77987e-22
-nan
-7.59231e-22
-nan
-7.40244e-22
-nan
-7.21031e-22
-nan
-7.01599e-22
-nan
-6.81953e-22
-nan
-6.621e-22
-nan
-6.42045e-22
-nan
-6.21794e-22
-nan
-6.01353e-22
-nan
-5.8073e-22
-nan
-5.5993e-22
-nan
-5.38959e-22
-nan
-5.17824e-22
-nan
-4.96531e-22
-nan
-4.75087e-22
-nan
-4.53498e-22
-nan
-4.31771e-22
-nan
-4.09913e-22
-nan
-3.8793e-22
-nan
-3.65828e-22
-nan
-3.43616e-22
-nan
-3.21298e-22
-nan
-2.98883e-22
-nan
-2.76376e-22
-nan
-2.53786e-22
-nan
-2.31118e-22
-nan
-2.08379e-22
-nan
-1.85577e-22
-nan
-1.62719e-22
-nan
-1.39811e-22
-nan
-1.16861e-22
-nan
-9.38747e-23
-nan
-7.086e-23
-nan
-4.78237e-23
-nan
-2.47729e-23
-nan
-1.71449e-24
-nan
2.13444e-23
-nan
4.43968e-23
-nan
6.74357e-23
-nan
9.0454e-23
-nan
1.13445e-22
-nan
1.36401e-22
-nan
1.59316e-22
-nan
1.82182e-22
-nan
2.04993e-22
-nan
2.27741e-22
-nan
2.5042e-22
-nan
2.73022e-22
-nan
2.95542e-22
-nan
3.17971e-22
-nan
3.40303e-22
-nan
3.62532e-22
-nan
3.84651e-22
-nan
4.06652e-22
-nan
4.28529e-22
-nan
4.50276e-22
-nan
4.71886e-22
-nan
4.93352e-22
-nan
5.14667e-22
-nan
5.35826e-22
-nan
5.56822e-22
-nan
5.77648e-22
-nan
5.98298e-22
-nan
6.18766e-22
-nan
6.39045e-22
-nan
6.5913e-22
-nan
6.79014e-22
-nan
6.98691e-22
-nan
7.18156e-22
-nan
7.37401e-22
-nan
7.56422e-22
-nan
7.75212e-22
-nan
7.93767e-22
-nan
8.12079e-22
-nan
8.30145e-22
-nan
8.47957e-22
-nan
8.65511e-22
-nan
8.82801e-22
-nan
8.99823e-22
-nan
9.1657e-22
-nan
9.33038e-22
-nan
9.49222e-22
-nan
9.65117e-22
-nan
9.80718e-22
-nan
9.9602e-22
-nan
1.01102e-21
-nan
1.02571e-21
-nan
1.04009e-21
-nan
1.05415e-21
-nan
1.06789e-21
-nan
1.0813e-21
-nan
1.09439e-21
-nan
1.10714e-21
-nan
1.11956e-21
-nan
1.13163e-21
-nan
1.14336e-21
-nan
1.15474e-21
-nan
1.16577e-21
-nan
1.17645e-21
-nan
1.18676e-21
-nan
1.19672e-21
-nan
1.20631e-21
-nan
1.21553e-21
-nan
1.22438e-21
-nan
1.23286e-21
-nan
1.24096e-21
-nan
1.24869e-21
-nan
1.25603e-21
-nan
1.263e-21
-nan
1.26958e-21
-nan
1.27577e-21
-nan
1.28157e-21
-nan
1.28698e-21
-nan
1.292e-21
-nan
1.29663e-21
-nan
1.30086e-21
-nan
1.3047e-21
-nan
1.30813e-21
-nan
1.31117e-21
-nan
1.31381e-21
-nan
1.31605e-21
-nan
1.31789e-21
-nan
1.31933e-21
-nan
1.32037e-21
-nan
1.321e-21
-nan
1.32123e-21
-nan
1.32106e-21
-nan
1.32048e-21
-nan
1.31951e-21
-nan
1.31813e-21
-nan
1.31635e-21
-nan
1.31417e-21
-nan
1.31159e-21
-nan
1.30861e-21
-nan
1.30523e-21
-nan
1.30146e-21
-nan
1.29728e-21
-nan
1.29271e-21
-nan
1.28775e-21
-nan
1.2824e-21
-nan
1.27665e-21
-nan
1.27052e-21
-nan
1.264e-21
-nan
1.25709e-21
-nan
1.24981e-21
-nan
1.24214e-21
-nan
1.23409e-21
-nan
1.22567e-21
-nan
1.21687e-21
-nan
1.2077e-21
-nan
1.19817e-21
-nan
1.18827e-21
-nan
1.178e-21
-nan
1.16738e-21
-nan
1.1564e-21
-nan
1.14508e-21
-nan
1.1334e-21
-nan
1.12138e-21
-nan
1.10901e-21
-nan
1.09631e-21
-nan
1.08327e-21
-nan
1.06991e-21
-nan
1.05621e-21
-nan
1.0422e-21
-nan
1.02787e-21
-nan
1.01322e-21
-nan
9.9827e-22
-nan
9.83012e-22
-nan
9.67456e-22
-nan
9.51604e-22
-nan
9.35463e-22
-nan
9.19037e-22
-nan
9.02331e-22
-nan
8.8535e-22
-nan
8.68099e-22
-nan
8.50584e-22
-nan
8.32809e-22
-nan
8.14781e-22
-nan
7.96505e-22
-nan
7.77987e-22
-nan
7.59231e-22
-nan
7.40244e-22
-nan
7.21031e-22
-nan
7.01599e-22
-nan
6.81953e-22
-nan
6.621e-22
-nan
6.42045e-22
-nan
6.21794e-22
-nan
6.01353e-22
-nan
5.8073e-22
-nan
5.5993e-22
-nan
5.38959e-22
-nan
5.17824e-22
-nan
4.96531e-22
-nan
4.75087e-22
-nan
4.53498e-22
-nan
4.31771e-22
-nan
4.09913e-22
-nan
3.8793e-22
-nan
3.65828e-22
-nan
3.43616e-22
-nan
3.21298e-22
-nan
2.98883e-22
-nan
2.76376e-22
-nan
2.53786e-22
-nan
2.31118e-22
-nan
2.08379e-22
-nan
1.85577e-22
-nan
1.62719e-22
-nan
1.39811e-22
-nan
1.16861e-22
-nan
9.38747e-23
-nan
7.086e-23
-nan
4.78237e-23
-nan
2.47729e-23
-nan
1.71449e-24
-nan
-2.13444e-23
-nan
-4.43968e-23
-nan
-6.74357e-23
-nan
-9.0454e-23
-nan
-1.13445e-22
-nan
-1.36401e-22
-nan
-1.59316e-22
-nan
-1.82182e-22
-nan
-2.04993e-22
-nan
-2.27741e-22
-nan
-2.5042e-22
-nan
-2.73022e-22
-nan
-2.95542e-22
-nan
-3.17971e-22
-nan
-3.40303e-22
-nan
-3.62532e-22
-nan
-3.84651e-22
-nan
-4.06652e-22
-nan
-4.28529e-22
-nan
-4.50276e-22
-nan
-4.71886e-22
-nan
-4.93352e-22
-nan
-5.14667e-22
-nan
-5.35826e-22
-nan
-5.56822e-22
-nan
-5.77648e-22
-nan
-5.98298e-22
-nan
-6.18766e-22
-nan
-6.39045e-22
-nan
-6.5913e-22
-nan
-6.79014e-22
